Time,Battery Voltage,Battery Current,Battery Level,GPS_Lat,GPS_Lon,GPS_Alt,CPU Usage,Ground_Speed,Air_Speed
2020-08-05 10:56:54.378596,23.595,27.5,99,13.0272191,77.5638142,932.98,11.5,0.370587646961,0.616000056267
2020-08-05 10:56:55.392589,23.7,22.83,99,13.0272183,77.5638124,933.46,21.9,0.370587646961,0.616000056267
2020-08-05 10:56:56.395138,23.462,31.12,99,13.0272226,77.5638149,933.12,21.5,0.375575572252,0.262000024319
2020-08-05 10:56:57.398521,23.151,41.74,99,13.0272226,77.5638149,933.12,21.4,0.359128922224,0.278000026941
2020-08-05 10:56:58.404622,23.668,22.11,99,13.027225,77.5638144,933.14,22.0,0.166518181562,0.156000003219
2020-08-05 10:56:59.408915,23.454,29.84,99,13.0272213,77.5638137,933.3,22.3,1.08557605743,0.90600001812
2020-08-05 10:57:00.411567,23.057,43.8,99,13.0272157,77.5638106,933.17,21.4,0.164810851216,0.149000003934
2020-08-05 10:57:01.414902,23.057,43.8,99,13.027219,77.5638117,933.09,20.5,0.517136216164,0.678000032902
2020-08-05 10:57:02.417299,23.275,35.39,99,13.0272231,77.5638125,933.07,20.9,0.236972019076,0.0480000004172
2020-08-05 10:57:03.419602,23.523,26.21,99,13.0272201,77.5638141,933.17,20.0,0.298297703266,0.207000017166
2020-08-05 10:57:04.422038,23.255,35.41,99,13.0272205,77.5638135,933.1,21.1,0.0937776789069,0.110000006855
2020-08-05 10:57:05.425628,23.632,21.76,99,13.0272199,77.5638143,933.14,21.6,0.0937776789069,0.110000006855
2020-08-05 10:57:06.427713,23.132,39.45,99,13.0272224,77.5638131,933.09,21.1,0.143061846495,0.115000002086
2020-08-05 10:57:07.431444,23.342,31.83,98,13.027227,77.5638116,933.09,21.2,0.176833152771,0.273000001907
2020-08-05 10:57:08.433345,23.434,28.36,98,13.0272238,77.563811,933.15,22.1,0.69146245718,0.607000052929
2020-08-05 10:57:09.435945,23.496,26.56,98,13.0272184,77.5638136,933.2,21.2,0.753064632416,0.244000017643
2020-08-05 10:57:10.438201,23.164,37.32,98,13.027217,77.5638153,933.13,21.8,0.340421408415,0.358000010252
2020-08-05 10:57:11.441513,23.275,32.97,98,13.027217,77.5638142,933.16,20.2,0.258030593395,0.224000006914
2020-08-05 10:57:12.444491,23.389,28.93,98,13.0272202,77.5638135,933.11,21.5,0.462557017803,0.483000010252
2020-08-05 10:57:13.447533,23.419,27.9,98,13.0272238,77.5638126,933.13,21.3,0.150475770235,0.497000008821
2020-08-05 10:57:14.452653,23.299,31.83,98,13.0272237,77.5638109,933.12,21.4,0.43375185132,0.331000030041
2020-08-05 10:57:15.457353,23.177,36.0,98,13.0272195,77.5638093,933.09,21.8,0.653992116451,0.616000056267
2020-08-05 10:57:16.460443,23.196,35.13,98,13.0272162,77.5638101,933.15,23.5,0.465050280094,0.411000013351
2020-08-05 10:57:17.467927,23.17,36.12,98,13.0272165,77.5638123,933.14,20.9,0.251220107079,0.350000023842
2020-08-05 10:57:18.472510,23.413,27.18,98,13.0272195,77.5638138,933.17,22.6,0.372586786747,0.437000006437
2020-08-05 10:57:19.475616,23.399,27.75,98,13.0272211,77.5638166,933.23,21.1,0.0149151608348,0.208000004292
2020-08-05 10:57:20.478818,23.413,27.21,98,13.0272246,77.5638141,933.25,22.6,0.494075000286,0.341000020504
2020-08-05 10:57:21.481219,23.303,31.17,98,13.0272242,77.5638135,933.21,21.6,0.556776583195,0.287000000477
2020-08-05 10:57:22.486004,23.33,30.07,98,13.0272208,77.5638115,933.25,23.0,0.422587424517,0.598000049591
2020-08-05 10:57:23.488415,23.118,37.76,98,13.0272193,77.5638111,933.25,22.3,0.0790598168969,0.136000007391
2020-08-05 10:57:24.493738,23.201,34.35,98,13.0272218,77.5638116,933.2,21.6,0.0945942401886,0.260000020266
