Time,Battery Voltage,Battery Current,Battery Level,GPS_Lat,GPS_Lon,GPS_Alt,CPU Usage,Ground_Speed,Air_Speed,,
35:14.8,23.236,29.33,97,13.0271835,77.5637647,934.5,11.3,1.441797495,1.447000027,681.51188,
35:15.8,23.121,33.34,97,13.0272007,77.563764,934.56,12.6,2.592515945,2.009000063,770.85414,
35:16.8,23.202,30.06,97,13.0272308,77.5637722,934.6,11.3,3.425385714,3.322000265,697.45212,
35:17.8,23.132,32.99,97,13.0272531,77.5637812,934.56,12.2,2.88482523,3.468000174,763.12468,
35:18.8,23.066,35.09,97,13.0272706,77.5637968,934.54,11.9,2.23203969,2.1650002,809.38594,
35:19.8,23.168,31.21,97,13.0272694,77.563819,934.53,10.7,2.468324661,2.174000025,723.07328,
35:20.8,23.156,31.47,97,13.0272624,77.5638388,934.51,10.8,2.864157915,2.985000134,728.71932,
35:21.8,22.957,38.53,97,13.0272464,77.563857,934.49,11.7,2.495306015,2.219000101,884.53321,
35:22.8,23.193,29.55,97,13.0272212,77.5638621,934.54,11.3,2.944448471,2.566000223,685.35315,
35:23.8,23.272,27.15,97,13.0271953,77.5638598,934.62,11.7,2.712012529,2.650000095,631.8348,
35:24.8,22.995,36.77,97,13.0271792,77.5638514,934.56,12.1,2.492768765,2.486000061,845.52615,
35:25.8,23.049,34.66,97,13.0271669,77.5638297,934.55,12.1,2.765067101,2.718000174,798.87834,
35:26.8,23.084,33.14,97,13.0271659,77.5638011,934.57,11.5,3.222481966,3.157000065,765.00376,
35:27.8,23.061,34.16,97,13.0271753,77.5637758,934.48,12.2,2.44187212,2.804000139,787.76376,
35:28.8,23.056,34.4,97,13.0271864,77.5637662,934.43,11.6,2.030029774,1.823000073,793.1264,
35:29.8,23.049,34.26,97,13.0272109,77.5637674,934.5,11.7,3.208786726,2.961000204,789.65874,
35:30.8,23.046,34.51,97,13.0272423,77.5637754,934.47,13.3,3.366984606,3.379000187,795.31746,
35:31.8,23.182,29.52,97,13.0272617,77.5637829,934.47,11.1,2.382905483,2.721000195,684.33264,
35:32.8,23.041,34.51,97,13.0272708,77.5637991,934.49,12.3,2.340161324,1.970000148,795.14491,
35:33.8,23.126,30.81,97,13.027266,77.5638241,934.5,12.1,3.085331917,2.820000172,712.51206,
35:34.8,22.98,36.47,97,13.0272571,77.5638454,934.47,10.5,2.798508406,2.794000149,838.0806,
35:35.9,23.031,34.46,97,13.027237,77.5638612,934.49,12.7,2.665321827,2.511000156,793.64826,
35:36.9,23.109,30.77,97,13.0272078,77.5638621,934.54,10.9,3.33545208,3.18900013,711.06393,
35:37.9,23.164,29.28,97,13.0271801,77.563855,934.51,12.4,2.640000343,2.741000175,678.24192,
35:38.9,23.076,32.39,97,13.0271706,77.5638451,934.61,11.4,2.079342604,1.781000137,747.43164,
35:39.9,23.037,33.69,96,13.027169,77.5638228,934.62,12.9,2.968695164,2.636000156,776.11653,
35:40.9,23.138,30.1,96,13.0271749,77.5637924,934.56,11.5,3.06409359,3.027000189,696.4538,
35:41.9,23.106,31.36,96,13.0271778,77.5637728,934.5,10.8,1.941264629,2.409000158,724.60416,
35:42.9,23.037,33.57,96,13.0271789,77.5637616,934.53,10.5,0.768857062,1.119000077,773.35209,
